condition,seed,update,mean_reward,acceptable_rate,mean_violation,mean_actions,terminal_loss,policy_loss,action_loss,diagnostic_action_cross_entropy,diagnostic_action_accuracy
endpoint,1,16,0.6553354263305664,0.75,0.024664571807513358,7.0,0.21609951555728912,-2.0315353870391846,0.0,3.982898712158203,0.03678929805755615
endpoint,1,17,0.027270138263702393,0.25,0.1452298749327089,7.75,0.21740829944610596,-5.088590621948242,0.0,3.9940054416656494,0.03678929805755615
endpoint,1,18,0.6828131675720215,0.75,0.024686854242493516,4.25,0.21858364343643188,-3.85678768157959,0.0,3.9943864345550537,0.03678929805755615
endpoint,1,19,-0.3160379230976105,0.0,0.21603793255871181,10.0,0.21918627619743347,0.09318450093269348,0.0,3.9977166652679443,0.03678929805755615
endpoint,1,20,0.18463309109210968,0.5,0.25286692081821915,6.25,0.21892860531806946,-4.85284423828125,0.0,3.9929358959198,0.03678929805755615
endpoint,1,21,0.36326950788497925,0.5,0.07673050291348657,6.0,0.21885792911052704,-6.354942321777344,0.0,3.9860641956329346,0.03678929805755615
endpoint,1,22,0.6332777142524719,0.75,0.051722289239349226,6.5,0.21855616569519043,-2.7429356575012207,0.0,3.9692442417144775,0.03678929805755615
endpoint,1,23,0.6875247359275818,0.75,0.02497526287096935,3.75,0.2182418555021286,-4.967893600463867,0.0,3.963762044906616,0.03678929805755615
endpoint,1,24,0.47394219040870667,0.75,0.2210578288430648,5.5,0.21847467124462128,-4.883562088012695,0.0,3.9354782104492188,0.03678929805755615
endpoint,1,25,0.5291383266448975,0.75,0.17086170335147138,5.0,0.21966727077960968,-4.879849433898926,0.0,3.903244733810425,0.03678929805755615
endpoint,1,26,0.30167311429977417,0.5,0.13332686678257077,6.5,0.2200908660888672,-4.8731584548950195,0.0,3.870140552520752,0.03678929805755615
endpoint,1,27,0.5929282307624817,0.75,0.11957176050002002,3.75,0.21992692351341248,-7.523734092712402,0.0,3.8635432720184326,0.03678929805755615
endpoint,1,28,0.6235671043395996,0.75,0.05143295550740147,7.5,0.21943768858909607,-2.2129759788513184,0.0,3.8589508533477783,0.03678929805755615
endpoint,1,29,0.39188820123672485,0.5,0.045611788166484035,6.25,0.218829944729805,-6.581477165222168,0.0,3.8574378490448,0.03678929805755615
endpoint,1,30,0.6994127631187439,0.75,0.000587264668122145,5.0,0.21831843256950378,-3.790178060531616,0.0,3.8504769802093506,0.03678929805755615
endpoint,1,31,-0.5277474522590637,0.0,0.42774746296745414,10.0,0.21743328869342804,0.4491398334503174,0.0,3.8394484519958496,0.03678929805755615
endpoint,1,32,0.36726880073547363,0.5,0.05773124152999155,7.5,0.21628016233444214,-4.272319316864014,0.0,3.824437379837036,0.03678929805755615
endpoint,1,33,0.9675000309944153,1.0,0.0,3.25,0.2156190425157547,-0.048426494002342224,0.0,3.812486410140991,0.03678929805755615
endpoint,1,34,-0.14660096168518066,0.25,0.3166009406117038,8.0,0.21538062393665314,-5.996113300323486,0.0,3.7985146045684814,0.03678929805755615
endpoint,1,35,0.3007437288761139,0.5,0.13925628352620367,6.0,0.21509894728660583,-5.222071647644043,0.0,3.7737348079681396,0.03678929805755615
endpoint,1,36,0.6276097297668457,0.75,0.05489031343375454,6.75,0.21500957012176514,-1.433370590209961,0.0,3.73323655128479,0.03678929805755615
endpoint,1,37,0.628393292427063,0.75,0.06910676822184181,5.25,0.2146681249141693,-5.000299453735352,0.0,3.7035369873046875,0.04013378173112869
endpoint,1,38,0.31123074889183044,0.5,0.12876926008271,6.0,0.21456560492515564,-5.618871688842773,0.0,3.671138048171997,0.04013378173112869
endpoint,1,39,0.3194218873977661,0.5,0.10057813983872323,8.0,0.2158467322587967,-2.8172125816345215,0.0,3.6500563621520996,0.03901895135641098
endpoint,1,40,0.6129887104034424,0.75,0.09201130593127943,4.5,0.2172001302242279,-5.573480606079102,0.0,3.6313586235046387,0.04013378173112869
endpoint,1,41,0.5629411935806274,0.75,0.11205878945728209,7.5,0.21780622005462646,-2.3443069458007812,0.0,3.6245052814483643,0.03901895135641098
endpoint,1,42,0.5317749977111816,0.75,0.18072503844525284,3.75,0.21830883622169495,-7.875011444091797,0.0,3.616685152053833,0.03678929805755615
endpoint,1,43,0.6594370007514954,0.75,0.015563035011291504,7.5,0.21824371814727783,-2.812408208847046,0.0,3.610482692718506,0.03678929805755615
endpoint,1,44,0.6569998860359192,0.75,0.020500121262398585,7.25,0.2174711674451828,-2.1223089694976807,0.0,3.60856032371521,0.03678929805755615
endpoint,1,45,0.3952714800834656,0.5,0.04222853471437754,6.25,0.2161167860031128,-4.867077827453613,0.0,3.6044678688049316,0.03678929805755615
endpoint,1,46,0.9650000333786011,1.0,0.0,3.5,0.21467682719230652,-0.1934817135334015,0.0,3.602825403213501,0.04013378173112869
endpoint,1,47,0.7000028491020203,0.75,0.009997145311838762,4.0,0.21386870741844177,-4.023477077484131,0.0,3.602823257446289,0.04124860838055611
